job_id,job_title,job_tags,company_address,company_name,company_size,min_salary,max_salary,experiences,industries,languages,frameworks
1395450,Junior DEV - Java,,Hà Nội,Công ty TNHH Peasoft Việt Nam,25-99 nhân viên,,20,1,Web-Back,"Java,Ruby,Python",
1396885,Nhân Viên Marketing Game (User Acquisition),,Hà Nội,Công ty cổ phần công nghệ Suga,25-99 nhân viên,7,16,,,,
1396872,Intern Marketing Game (User Acquisition),,Hà Nội,Công ty cổ phần công nghệ Suga,25-99 nhân viên,,,,,,
1396464,Phó Phòng Kinh Doanh (Mảng Phòng Net),"Bán Hàng, Kinh Doanh, Quản Trị Kinh Doanh, Quản Lý Kinh Doanh, Quản Lý Công Việc, Quản Lý Đội Ngũ, Quản Lý Team",Hồ Chí Minh,CÔNG TY TNHH CYBERCORE VIỆT NAM,100-499 nhân viên,12,15,,,,
1396759,Kỹ Thuật Viên Điều Hành FPT,"Tin học văn phòng, Chịu áp lực cao, ",Đà Nẵng,Công ty Cổ phần viễn thông FPT,5000+ nhân viên,9,13,,,,
1394816,Thực Tập Sinh Python (Lộ Trình Lên Fresher),"Python, Tiếng Anh giao tiếp, ",Hà Nội,CÔNG TY CỔ PHẦN AHT TECH,100-499 nhân viên,,,,Web-Back,Python,Odoo
1394817,Thực Tập Sinh Python/Odoo Tiếng Anh Tốt,"Python, Tiếng Anh giao tiếp, ",Hà Nội,CÔNG TY CỔ PHẦN AHT TECH,100-499 nhân viên,,,,Web-Back,Python,Odoo
1396439,Lập Trình Viên Backend,,Hà Nội,Công ty cổ phần SANAN,25-99 nhân viên,,35,2,Web-Back,"Java,C#,JS",NodeJS
1083521,Kỹ Sư Cầu Nối ( Brse),"Bridge Engineer, Tiếng Nhật, Tiếng Nhật N2 - N1, ",Hà Nội,Công ty CP Phần mềm MOR,100-499 nhân viên,,40,,,,
1396457,Lập Trình Viên Javascript (Middle),,Hà Nội,Công ty cổ phần SANAN,25-99 nhân viên,,35,2,Web-Back,JS,
1088722,IT Comtor (Tiếng Hàn),,Hà Nội,Công ty CP Phần mềm MOR,100-499 nhân viên,,30,,,,
1396472,Lập Trình Viên NodeJS (Middle),,Hà Nội,Công ty cổ phần SANAN,25-99 nhân viên,,35,2,Web-Back,JS,NodeJS
